"Date","Time","Temp","Degreedays","Tank"
2021-01-01,"00",7.9,0,"3"
2021-01-01,"01",7.9,0.0479166666666667,"3"
2021-01-01,"02",7.9,0.0958333333333334,"3"
2021-01-01,"03",7.9,0.14375,"3"
2021-01-01,"04",7.9,0.191666666666667,"3"
2021-01-01,"05",7.9,0.239583333333333,"3"
2021-01-01,"06",7.9,0.2875,"3"
2021-01-01,"07",7.9,0.335416666666667,"3"
2021-01-01,"08",7.9,0.383333333333333,"3"
2021-01-01,"09",7.86666666666667,0.43125,"3"
2021-01-01,"10",7.8,0.477777777777778,"3"
2021-01-01,"11",7.8,0.521527777777778,"3"
2021-01-01,"12",7.8,0.565277777777778,"3"
2021-01-01,"13",7.75,0.609027777777778,"3"
2021-01-01,"14",7.7,0.650694444444444,"3"
2021-01-01,"15",7.7,0.690277777777778,"3"
2021-01-01,"16",7.65,0.729861111111111,"3"
2021-01-01,"17",7.6,0.767361111111111,"3"
2021-01-01,"18",7.6,0.802777777777778,"3"
2021-01-01,"19",7.6,0.838194444444444,"3"
2021-01-01,"20",7.6,0.873611111111111,"3"
2021-01-01,"21",7.6,0.909027777777778,"3"
2021-01-01,"22",7.51666666666667,0.944444444444444,"3"
2021-01-01,"23",7.56666666666667,0.976388888888889,"3"
2021-01-02,"00",7.6,1.01041666666667,"3"
2021-01-02,"01",7.6,1.04583333333333,"3"
2021-01-02,"02",7.6,1.08125,"3"
2021-01-02,"03",7.6,1.11666666666667,"3"
2021-01-02,"04",7.6,1.15208333333333,"3"
2021-01-02,"05",7.6,1.1875,"3"
2021-01-02,"06",7.6,1.22291666666667,"3"
2021-01-02,"07",7.6,1.25833333333333,"3"
2021-01-02,"08",7.6,1.29375,"3"
2021-01-02,"09",7.6,1.32916666666667,"3"
2021-01-02,"10",7.51666666666667,1.36458333333333,"3"
2021-01-02,"11",7.5,1.39652777777778,"3"
2021-01-02,"12",7.5,1.42777777777778,"3"
2021-01-02,"13",7.5,1.45902777777778,"3"
2021-01-02,"14",7.5,1.49027777777778,"3"
2021-01-02,"15",7.5,1.52152777777778,"3"
2021-01-02,"16",7.5,1.55277777777778,"3"
2021-01-02,"17",7.5,1.58402777777778,"3"
2021-01-02,"18",7.5,1.61527777777778,"3"
2021-01-02,"19",7.5,1.64652777777778,"3"
2021-01-02,"20",7.5,1.67777777777778,"3"
2021-01-02,"21",7.63333333333333,1.70902777777778,"3"
2021-01-02,"22",7.7,1.74583333333333,"3"
2021-01-02,"23",7.7,1.78541666666667,"3"
2021-01-03,"00",7.7,1.825,"3"
2021-01-03,"01",7.7,1.86458333333333,"3"
2021-01-03,"02",7.675,1.90416666666667,"3"
2021-01-03,"03",7.6,1.94270833333333,"3"
2021-01-03,"04",7.6,1.978125,"3"
2021-01-03,"05",7.61666666666667,2.01354166666667,"3"
2021-01-03,"06",7.6,2.04965277777778,"3"
2021-01-03,"07",7.60833333333333,2.08506944444444,"3"
2021-01-03,"08",7.68333333333333,2.12083333333333,"3"
2021-01-03,"09",7.7,2.15972222222222,"3"
2021-01-03,"10",7.55833333333333,2.19930555555555,"3"
2021-01-03,"11",7.6,2.23298611111111,"3"
2021-01-03,"12",7.68333333333333,2.26840277777778,"3"
2021-01-03,"13",7.7,2.30729166666667,"3"
2021-01-03,"14",7.7,2.346875,"3"
2021-01-03,"15",7.7,2.38645833333333,"3"
2021-01-03,"16",7.7,2.42604166666667,"3"
2021-01-03,"17",7.7,2.465625,"3"
2021-01-03,"18",7.7,2.50520833333333,"3"
2021-01-03,"19",7.7,2.54479166666667,"3"
2021-01-03,"20",7.74166666666667,2.584375,"3"
2021-01-03,"21",7.725,2.62569444444444,"3"
2021-01-03,"22",7.7,2.66631944444444,"3"
2021-01-03,"23",7.7,2.70590277777778,"3"
2021-01-04,"00",7.69166666666667,2.74548611111111,"3"
2021-01-04,"01",7.6,2.78472222222222,"3"
2021-01-04,"02",7.61666666666667,2.82013888888889,"3"
2021-01-04,"03",7.60833333333333,2.85625,"3"
2021-01-04,"04",7.6,2.89201388888889,"3"
2021-01-04,"05",7.6,2.92743055555555,"3"
2021-01-04,"06",7.6,2.96284722222222,"3"
2021-01-04,"07",7.60833333333333,2.99826388888889,"3"
2021-01-04,"08",7.61666666666667,3.03402777777778,"3"
2021-01-04,"09",7.6,3.07013888888889,"3"
2021-01-04,"10",7.6,3.10555555555555,"3"
2021-01-04,"11",7.6,3.14097222222222,"3"
2021-01-04,"12",7.6,3.17638888888889,"3"
2021-01-04,"13",7.66666666666667,3.21180555555555,"3"
2021-01-04,"14",7.61666666666667,3.25,"3"
2021-01-04,"15",7.6,3.28611111111111,"3"
2021-01-04,"16",7.675,3.32152777777778,"3"
2021-01-04,"17",7.7,3.36006944444444,"3"
2021-01-04,"18",7.78333333333333,3.39965277777778,"3"
2021-01-04,"19",7.8,3.44270833333333,"3"
2021-01-04,"20",7.8,3.48645833333333,"3"
2021-01-04,"21",7.75833333333333,3.53020833333333,"3"
2021-01-04,"22",7.68333333333333,3.57222222222222,"3"
2021-01-04,"23",7.6,3.61111111111111,"3"
2021-01-05,"00",7.6,3.64652777777778,"3"
2021-01-05,"01",7.6,3.68194444444444,"3"
2021-01-05,"02",7.50833333333333,3.71736111111111,"3"
2021-01-05,"03",7.5,3.74895833333333,"3"
2021-01-05,"04",7.5,3.78020833333333,"3"
2021-01-05,"05",7.5,3.81145833333333,"3"
2021-01-05,"06",7.56666666666667,3.84270833333333,"3"
2021-01-05,"07",7.66666666666667,3.87673611111111,"3"
2021-01-05,"08",7.7,3.91493055555555,"3"
2021-01-05,"09",7.7,3.95451388888889,"3"
2021-01-05,"10",7.7,3.99409722222222,"3"
2021-01-05,"11",7.7,4.03368055555555,"3"
2021-01-05,"12",7.75,4.07326388888889,"3"
2021-01-05,"13",7.8,4.11493055555555,"3"
2021-01-05,"14",7.825,4.15868055555555,"3"
2021-01-05,"15",7.85,4.20347222222222,"3"
2021-01-05,"16",7.73333333333333,4.24930555555556,"3"
2021-01-05,"17",7.7,4.29027777777778,"3"
2021-01-05,"18",7.7,4.32986111111111,"3"
2021-01-05,"19",7.7,4.36944444444444,"3"
2021-01-05,"20",7.78333333333333,4.40902777777778,"3"
2021-01-05,"21",7.8,4.45208333333333,"3"
2021-01-05,"22",7.8,4.49583333333333,"3"
2021-01-05,"23",7.8,4.53958333333333,"3"
2021-01-06,"00",7.8,4.58333333333333,"3"
2021-01-06,"01",7.75,4.62708333333333,"3"
2021-01-06,"02",7.7,4.66875,"3"
2021-01-06,"03",7.7,4.70833333333333,"3"
2021-01-06,"04",7.625,4.74791666666667,"3"
2021-01-06,"05",7.6,4.784375,"3"
2021-01-06,"06",7.6,4.81979166666667,"3"
2021-01-06,"07",7.6,4.85520833333333,"3"
2021-01-06,"08",7.6,4.890625,"3"
2021-01-06,"09",7.68333333333333,4.92604166666667,"3"
2021-01-06,"10",7.7,4.96493055555556,"3"
2021-01-06,"11",7.7,5.00451388888889,"3"
2021-01-06,"12",7.79166666666667,5.04409722222222,"3"
2021-01-06,"13",7.74166666666667,5.0875,"3"
2021-01-06,"14",7.66666666666667,5.12881944444445,"3"
2021-01-06,"15",7.6,5.16701388888889,"3"
2021-01-06,"16",7.53333333333333,5.20243055555556,"3"
2021-01-06,"17",7.5,5.23506944444445,"3"
